,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
45,76021.0,1984-85,00,1610612744.0,GOS,26.0,74.0,4.0,1114.0,161.0,337.0,0.478,0.0,1.0,0.0,55.0,75.0,0.733,87.0,183.0,270.0,36.0,15.0,15.0,72.0,171.0,377.0
46,1626146.0,2015-16,00,1610612757.0,POR,20.0,8.0,0.0,36.0,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0
47,724.0,2004-05,00,1610612766.0,CHA,32.0,16.0,1.0,201.0,16.0,49.0,0.327,8.0,19.0,0.421,9.0,12.0,0.75,8.0,21.0,29.0,37.0,9.0,1.0,19.0,29.0,49.0
48,2042.0,2002-03,00,1610612740.0,NOH,26.0,66.0,7.0,1360.0,193.0,505.0,0.382,19.0,57.0,0.333,118.0,146.0,0.808,39.0,79.0,118.0,79.0,31.0,6.0,68.0,125.0,523.0
49,76022.0,1993-94,00,0.0,TOT,24.0,11.0,0.0,55.0,8.0,14.0,0.571,0.0,0.0,0.0,3.0,9.0,0.333,7.0,8.0,15.0,2.0,3.0,0.0,8.0,10.0,19.0
50,201570.0,2009-10,00,1610612741.0,CHI,23.0,8.0,0.0,29.0,1.0,6.0,0.167,0.0,1.0,0.0,2.0,3.0,0.667,2.0,3.0,5.0,2.0,1.0,1.0,0.0,9.0,4.0
51,1629734.0,2019-20,00,1610612748.0,MIA,23.0,2.0,0.0,13.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0
52,1630234.0,2020-21,00,1610612756.0,PHX,22.0,15.0,0.0,47.0,3.0,12.0,0.25,2.0,9.0,0.222,1.0,2.0,0.5,2.0,8.0,10.0,6.0,0.0,1.0,3.0,2.0,9.0
53,2349.0,2001-02,00,1610612765.0,DET,32.0,15.0,0.0,97.0,18.0,51.0,0.353,0.0,2.0,0.0,4.0,8.0,0.5,7.0,22.0,29.0,6.0,0.0,1.0,5.0,6.0,40.0
54,1629638.0,2023-24,00,1610612750.0,MIN,25.0,62.0,17.0,1425.0,161.0,377.0,0.427,91.0,241.0,0.378,35.0,45.0,0.778,24.0,97.0,121.0,159.0,49.0,34.0,58.0,111.0,448.0
55,76024.0,1990-91,00,1610612742.0,DAL,26.0,34.0,0.0,236.0,59.0,117.0,0.504,7.0,23.0,0.304,26.0,31.0,0.839,10.0,14.0,24.0,22.0,8.0,1.0,16.0,11.0,151.0
56,1628959.0,2018-19,00,1610612741.0,CHI,21.0,10.0,1.0,120.0,13.0,39.0,0.333,3.0,12.0,0.25,8.0,12.0,0.667,11.0,15.0,26.0,13.0,1.0,0.0,8.0,7.0,37.0
57,76028.0,1968-69,00,1610612744.0,SFW,22.0,27.0,,232.0,14.0,43.0,0.326,,,,20.0,36.0,0.556,,,56.0,10.0,,,,27.0,48.0
58,1628960.0,2023-24,00,1610612756.0,PHX,28.0,56.0,56.0,1871.0,239.0,483.0,0.495,146.0,310.0,0.471,97.0,109.0,0.89,36.0,183.0,219.0,174.0,50.0,36.0,72.0,122.0,721.0
59,1628386.0,2023-24,00,1610612739.0,CLE,25.0,56.0,56.0,1752.0,365.0,578.0,0.631,0.0,5.0,0.0,159.0,217.0,0.733,187.0,400.0,587.0,153.0,42.0,64.0,93.0,119.0,889.0
60,706.0,1996-97,00,0.0,TOT,24.0,76.0,1.0,944.0,78.0,221.0,0.353,30.0,93.0,0.323,42.0,72.0,0.583,25.0,73.0,98.0,152.0,31.0,4.0,69.0,84.0,228.0
61,1628443.0,2019-20,00,1610612752.0,NYK,27.0,10.0,0.0,117.0,19.0,44.0,0.432,5.0,16.0,0.313,7.0,11.0,0.636,2.0,7.0,9.0,21.0,5.0,2.0,8.0,7.0,50.0
62,202730.0,2016-17,00,1610612754.0,IND,28.0,61.0,5.0,871.0,77.0,168.0,0.458,0.0,1.0,0.0,23.0,33.0,0.697,105.0,114.0,219.0,57.0,18.0,24.0,29.0,78.0,177.0
63,76027.0,1978-79,00,1610612758.0,KCK,31.0,31.0,,413.0,69.0,174.0,0.397,,,,19.0,33.0,0.576,14.0,32.0,46.0,44.0,21.0,6.0,30.0,52.0,157.0
64,2124.0,2010-11,00,1610612753.0,ORL,33.0,18.0,0.0,178.0,11.0,31.0,0.355,0.0,0.0,0.0,1.0,2.0,0.5,12.0,20.0,32.0,4.0,1.0,4.0,3.0,30.0,23.0
65,76025.0,1989-90,00,1610612758.0,SAC,25.0,63.0,6.0,746.0,106.0,239.0,0.444,0.0,7.0,0.0,23.0,43.0,0.535,49.0,89.0,138.0,23.0,16.0,19.0,28.0,102.0,235.0
66,951.0,2013-14,00,1610612748.0,MIA,38.0,73.0,9.0,1936.0,240.0,543.0,0.442,116.0,309.0,0.375,105.0,116.0,0.905,23.0,182.0,205.0,143.0,54.0,8.0,84.0,115.0,701.0
67,2754.0,2017-18,00,1610612740.0,NOP,36.0,22.0,0.0,273.0,44.0,91.0,0.484,4.0,12.0,0.333,11.0,21.0,0.524,20.0,27.0,47.0,9.0,11.0,3.0,19.0,49.0,103.0
68,76029.0,1971-72,00,1610612744.0,GOS,22.0,36.0,,166.0,17.0,78.0,0.218,,,,33.0,61.0,0.541,,,45.0,10.0,,,,34.0,67.0
69,200984.0,2007-08,00,1610612739.0,CLE,27.0,3.0,0.0,10.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
70,76030.0,1980-81,00,1610612742.0,DAL,22.0,22.0,3.0,276.0,23.0,67.0,0.343,0.0,1.0,0.0,13.0,22.0,0.591,19.0,46.0,65.0,25.0,5.0,8.0,23.0,51.0,59.0
71,201165.0,2011-12,00,1610612764.0,WAS,27.0,4.0,0.0,67.0,6.0,17.0,0.353,1.0,3.0,0.333,1.0,3.0,0.333,1.0,7.0,8.0,2.0,7.0,0.0,1.0,6.0,14.0
72,308.0,1996-97,00,1610612737.0,ATL,24.0,2.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1747.0,2009-10,00,0.0,TOT,33.0,52.0,38.0,1420.0,155.0,446.0,0.348,58.0,168.0,0.345,59.0,81.0,0.728,13.0,116.0,129.0,176.0,50.0,10.0,95.0,103.0,427.0
74,1824.0,1998-99,00,1610612758.0,SAC,26.0,2.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0
75,1630631.0,2023-24,00,1610612740.0,NOP,25.0,41.0,0.0,703.0,104.0,251.0,0.414,51.0,145.0,0.352,27.0,40.0,0.675,16.0,74.0,90.0,84.0,47.0,14.0,33.0,60.0,286.0
76,680.0,2002-03,00,1610612762.0,UTA,32.0,50.0,1.0,475.0,37.0,118.0,0.314,0.0,0.0,0.0,25.0,52.0,0.481,26.0,51.0,77.0,21.0,14.0,7.0,34.0,50.0,99.0
77,732.0,1996-97,00,1610612764.0,WAS,25.0,31.0,0.0,145.0,12.0,40.0,0.3,1.0,1.0,1.0,15.0,28.0,0.536,19.0,33.0,52.0,3.0,7.0,3.0,10.0,29.0,40.0
78,202329.0,2020-21,00,0.0,TOT,30.0,23.0,14.0,434.0,38.0,99.0,0.384,8.0,37.0,0.216,18.0,22.0,0.818,22.0,88.0,110.0,31.0,19.0,9.0,28.0,29.0,102.0
79,200811.0,2015-16,00,1610612752.0,NYK,33.0,29.0,0.0,204.0,19.0,53.0,0.358,0.0,0.0,0.0,14.0,27.0,0.519,23.0,26.0,49.0,12.0,6.0,7.0,15.0,44.0,52.0
80,76034.0,1959-60,00,1610612752.0,NYK,22.0,33.0,,373.0,55.0,143.0,0.385,,,,23.0,42.0,0.548,,,69.0,29.0,,,,32.0,133.0
81,2365.0,2016-17,00,1610612739.0,CLE,38.0,12.0,0.0,114.0,9.0,22.0,0.409,0.0,3.0,0.0,10.0,14.0,0.714,9.0,22.0,31.0,5.0,5.0,7.0,5.0,20.0,28.0
